spec,maxl,maxw,maxth,maxstl,maxstw,Site
fs315,66.79,21.75,8.43,17.07,12.86,Cooper
fs109,57.72,28.7,9.54,11.01,19.01,Cooper
fs557,49.93,32.96,6.02,12.81,16.87,Cooper
fs225,35.73,22.99,7.33,15.28,18.88,Cooper
fs95,55.6,23.98,7.45,11.76,15.96,Cooper
fs639,52.44,24.23,9.44,12.52,15.29,Cooper
fs896,68.54,36.57,9.78,13.64,23.02,Cooper
fs480,60.79,29.73,9.79,17.44,21.45,Cooper
fs781,58.01,23.86,8.34,10.48,15.21,Cooper
fs778,49.22,22.17,10.69,12.58,18.5,Cooper
fs586,44.96,28.49,8.37,15.05,20.02,Cooper
fs170,40.11,20.57,8.16,13.69,12.45,Cooper
fs631,46.01,26.23,6.43,14.74,16.02,Cooper
fs865,34.28,16.1,8.01,16.44,14.28,Cooper
fs92,51.66,20.05,8.99,9.44,13.96,Cooper
fs786,50.26,20.73,7.49,10.2,13.71,Cooper
fs649,50.48,24.51,10.55,14.59,16.96,Cooper
fs607,47.39,31.11,8.5,12.22,17.39,Cooper
fs225,57.26,24.05,8.46,14.43,14.82,Cooper
fs182,48,25.29,9.3,15.73,16.89,Cooper
fs569,41.69,19.1,7.83,15.05,16.64,Cooper
fs184,52.54,21.46,8.15,10.52,13.3,Cooper
fs583,60.88,27.8,9.27,17.31,15.95,Cooper
fs536,54.69,26.16,8.34,24.14,20.9,Cooper
fs573,59.71,27.27,12.02,16.44,21.72,Cooper
fs116,58.05,24.14,8.95,14.32,18.5,Cooper
fs638,52.03,18.21,8.73,11.29,14.45,Cooper
fs633,48.14,25.58,8.26,17.31,16.28,Cooper
fs805,56.17,27.75,9.13,12.04,18.74,Cooper
fs571,40.67,24.58,7.76,19.39,22.16,Cooper
fs110,67.6,48.98,10.35,18,27.24,Cooper
fs810,57.79,29.93,6.6,14.61,19.46,Cooper
fs819,44.05,25.45,5.95,13.55,18.03,Cooper
fs636,65.19,25.56,10.63,17.78,18.6,Cooper
fs91,52.76,29.83,6.73,16.98,19.59,Cooper
fs541,34.76,23.45,6.92,13.41,16.84,Cooper
fs112,35.73,22.53,8,14.16,15.2,Cooper
fs897,49.88,17.41,7.67,17.64,13.48,Cooper
fs629,56.38,18.68,9.86,21.09,15.12,Cooper
fs144,60.16,21.35,6.97,12.23,12.71,Cooper
fs125,44.35,30.36,11.09,11.33,19.83,Cooper
fs321,65.6,56.86,12.09,14.82,20.21,Cooper
fs630,46.44,18.19,7.44,9.43,15.38,Cooper
fs203,60.77,28.21,8.43,14.7,15.56,Cooper
fs177,44.25,25.68,7.81,8.73,13.55,Cooper
fs169,35.01,20.64,6.33,11.08,14.06,Cooper
fs193,43.04,21.95,9.08,16.59,15.67,Cooper
fs168,41,19.43,7.39,15.56,13.25,Cooper
fs500,50.58,24.45,8.27,8.07,18.19,Cooper
fs587,59.34,27.66,9.96,18.65,20.42,Cooper
fs632,49.19,20.91,7.07,10.46,12.09,Cooper
fs112,48.43,25.37,8.59,14.58,19.22,Cooper
fs97,38.44,33.36,6.89,12.7,18.57,Cooper
fs643,41.35,18.62,7.33,7,9.41,Cooper
fs640,57.54,20.02,10.33,11.75,14.45,Cooper
